Student_ID,Study_Hours,Exam_Score,Attendance,Homework_Score,Orientation
STU-1347-00127,27.5,84,89.3,64.5,Scientific
STU-1347-00128,27.6,77,89.3,66.5,Scientific
STU-1347-00129,30.2,75,92.1,65.9,Scientific
STU-1347-00130,24.0,70,87.3,61.6,Scientific
STU-1347-00131,22.5,74,84.1,58.0,Scientific
STU-1347-00132,27.2,76,82.6,61.4,Scientific
STU-1347-00133,22.9,63,82.4,50.9,Literary
STU-1347-00134,29.6,84,88.4,71.4,Scientific
STU-1347-00135,30.1,82,93.6,68.9,Scientific
STU-1347-00136,20.8,77,86.2,57.9,Scientific
STU-1347-00137,24.0,72,83.2,57.7,Scientific
STU-1347-00138,23.1,73,87.3,63.0,Scientific
STU-1347-00139,16.8,50,78.7,49.1,Literary
STU-1347-00140,26.0,70,88.2,63.1,Scientific
STU-1347-00141,13.3,43,72.3,42.9,Literary
STU-1347-00142,17.4,50,76.0,51.7,Literary
STU-1347-00143,17.3,54,79.2,53.1,Literary
STU-1347-00144,22.0,64,82.6,56.0,Literary
STU-1347-00145,20.4,63,78.9,57.8,Literary
STU-1347-00146,32.9,81,97.8,74.6,Scientific
STU-1347-00147,19.6,60,81.1,55.1,Literary
STU-1347-00148,17.7,50,77.2,49.2,Literary
STU-1347-00149,19.0,55,81.0,51.5,Literary
STU-1347-00150,25.2,74,83.1,60.6,Scientific
STU-1347-00151,29.0,79,92.1,65.9,Scientific
STU-1347-00152,22.9,70,82.0,55.7,Literary
STU-1347-00153,26.2,79,88.8,57.1,Scientific
STU-1347-00154,24.8,72,86.5,60.2,Scientific
STU-1347-00155,22.9,71,82.1,55.6,Scientific
STU-1347-00156,11.3,55,73.4,43.0,Literary
STU-1347-00157,28.8,72,94.2,61.6,Scientific
STU-1347-00158,20.3,58,79.5,57.1,Literary
STU-1347-00159,22.8,72,86.1,62.4,Scientific
STU-1347-00160,16.9,65,78.3,49.9,Literary
STU-1347-00161,24.2,69,86.0,59.3,Scientific
STU-1347-00162,24.4,71,88.2,57.4,Scientific
STU-1347-00163,24.1,65,84.9,57.3,Literary
STU-1347-00164,20.5,56,83.2,58.3,Literary
STU-1347-00165,19.1,60,76.4,52.8,Literary
STU-1347-00166,22.9,69,81.5,56.1,Literary
STU-1347-00167,23.4,75,86.7,60.2,Scientific
STU-1347-00168,14.2,46,71.8,40.9,Literary
STU-1347-00169,21.4,67,84.0,62.8,Scientific
STU-1347-00170,30.6,81,93.8,66.7,Scientific
STU-1347-00171,16.0,50,71.9,45.7,Literary
STU-1347-00172,20.5,62,82.2,54.9,Literary
STU-1347-00173,19.9,71,79.4,51.6,Literary
STU-1347-00174,22.4,63,80.2,58.4,Literary
STU-1347-00175,23.5,71,81.7,59.3,Scientific
STU-1347-00176,25.9,75,85.0,62.5,Scientific
STU-1347-00177,15.5,51,75.7,46.9,Literary
STU-1347-00178,12.7,46,75.1,40.8,Literary
STU-1347-00179,27.1,75,87.9,60.3,Scientific
STU-1347-00180,22.8,59,80.4,51.5,Literary
STU-1347-00181,23.0,82,86.3,56.4,Scientific
STU-1347-00182,20.6,60,80.6,63.0,Literary
STU-1347-00183,26.6,75,85.3,61.6,Scientific
STU-1347-00184,21.0,64,78.8,54.8,Literary
STU-1347-00185,22.5,64,79.0,52.9,Literary
STU-1347-00186,29.4,83,92.8,69.4,Scientific
STU-1347-00187,29.2,81,89.8,71.2,Scientific
STU-1347-00188,20.1,66,79.9,52.6,Literary
STU-1347-00189,25.1,74,84.9,60.3,Scientific
STU-1347-00190,32.2,82,92.1,66.2,Scientific
STU-1347-00191,22.8,61,80.4,58.2,Literary
STU-1347-00192,27.5,76,89.3,59.4,Scientific
STU-1347-00193,25.0,72,87.1,59.7,Scientific
STU-1347-00194,29.3,78,88.2,65.2,Scientific
STU-1347-00195,10.7,39,69.6,32.5,Literary
STU-1347-00196,21.1,66,79.6,55.1,Literary
STU-1347-00197,19.2,62,78.3,52.6,Literary
STU-1347-00198,20.4,69,81.7,59.8,Scientific
STU-1347-00199,20.1,53,82.1,55.1,Literary
STU-1347-00200,25.7,75,84.8,68.6,Scientific
STU-1347-00201,23.5,65,85.4,59.0,Literary
STU-1347-00202,19.4,54,75.8,52.0,Literary
STU-1347-00203,20.8,63,76.3,53.6,Literary
STU-1347-00204,24.2,72,84.2,59.2,Scientific
STU-1347-00205,16.7,64,78.6,52.1,Literary
STU-1347-00206,21.4,63,76.4,56.7,Literary
STU-1347-00207,24.1,66,84.7,61.7,Literary
STU-1347-00208,30.0,76,90.8,63.6,Scientific
STU-1347-00209,29.9,91,94.0,70.5,Scientific
STU-1347-00210,27.3,78,87.6,62.6,Scientific
STU-1347-00211,24.5,72,84.4,61.0,Scientific
STU-1347-00212,30.0,90,97.1,80.6,Scientific
STU-1347-00213,26.6,70,82.4,67.8,Scientific
STU-1347-00214,17.7,61,78.5,56.1,Literary
STU-1347-00215,21.4,70,84.1,53.8,Literary
STU-1347-00216,31.4,83,89.0,66.3,Scientific
STU-1347-00217,22.6,65,82.9,54.2,Literary
STU-1347-00218,19.6,64,77.8,52.6,Literary
STU-1347-00219,22.4,69,85.1,56.8,Scientific
STU-1347-00220,24.9,78,85.5,62.3,Scientific
STU-1347-00221,22.2,71,83.8,61.3,Scientific
STU-1347-00222,20.7,61,82.0,51.3,Literary
STU-1347-00223,21.6,69,84.1,58.6,Scientific
STU-1347-00224,20.2,59,80.3,54.6,Literary
STU-1347-00225,23.8,66,82.1,59.9,Literary
STU-1347-00226,26.9,75,86.5,67.2,Scientific
STU-1347-00227,17.8,62,78.4,51.5,Literary
STU-1347-00228,28.5,75,89.4,69.4,Scientific
STU-1347-00229,23.1,54,79.7,55.7,Literary
STU-1347-00230,24.3,69,88.6,54.7,Scientific
STU-1347-00231,28.3,77,89.6,65.4,Scientific
STU-1347-00232,20.6,64,80.7,60.8,Literary
STU-1347-00233,24.3,72,87.6,59.9,Scientific
STU-1347-00234,21.8,70,80.5,60.8,Scientific
STU-1347-00235,25.1,80,84.8,63.0,Scientific
STU-1347-00236,21.4,69,81.2,54.4,Literary
STU-1347-00237,26.9,81,89.0,72.1,Scientific
STU-1347-00238,17.1,45,74.3,46.7,Literary
STU-1347-00239,22.0,70,79.5,53.9,Literary
STU-1347-00240,22.7,64,79.7,53.2,Literary
STU-1347-00241,20.0,62,85.3,57.4,Literary
STU-1347-00242,21.2,63,80.5,56.3,Literary
STU-1347-00243,25.5,68,85.3,57.3,Literary
STU-1347-00244,24.9,73,86.2,62.9,Scientific
STU-1347-00245,19.2,63,81.0,56.0,Literary
STU-1347-00246,19.0,60,81.1,59.3,Literary
STU-1347-00247,26.8,83,89.0,60.8,Scientific
STU-1347-00248,24.4,79,85.9,63.3,Scientific
STU-1347-00249,27.3,79,87.6,66.2,Scientific
STU-1347-00250,22.2,66,80.7,58.6,Literary
